comment_id,sentence_id,attribution,primary_attribution,secondary_attribution,multiple_attribution_1,other_attribution,actual_comment_ids
2,2.5,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.5
2,2.6,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.6
2,2.7,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.7
2582,2582.0,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.0
2582,2582.1,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.1
2582,2582.2,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.2
2582,2582.3,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.3
2582,2582.4,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.4
2582,2582.5,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.5
2582,2582.6,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuecePKMtt.6
374,374.0,0,,,,,UggTi3Vl-Vd2TngCoAEC.8VKm2xqur4b8Z_hxaBU5LN.0
374,374.1,0,,,,,UggTi3Vl-Vd2TngCoAEC.8VKm2xqur4b8Z_hxaBU5LN.1
846,846.0,0,,,,,UggVa8NaQLWP9ngCoAEC.8QJM3PesqGg8TkARtWbto1.0
846,846.1,0,,,,,UggVa8NaQLWP9ngCoAEC.8QJM3PesqGg8TkARtWbto1.1
973,973.0,0,,,,,UggY9H_JxlqINngCoAEC.0
973,973.1,0,,,,,UggY9H_JxlqINngCoAEC.1
1945,1945.0,1,contamination,,,,UggYKxoe652CUXgCoAEC.0
1945,1945.1,1,government inaction,,,,UggYKxoe652CUXgCoAEC.1
1945,1945.2,1,government inaction,,,,UggYKxoe652CUXgCoAEC.2
1945,1945.3,1,government inaction,,,,UggYKxoe652CUXgCoAEC.3
1945,1945.4,0,,,,,UggYKxoe652CUXgCoAEC.4
1945,1945.5,0,,,,,UggYKxoe652CUXgCoAEC.5
1945,1945.6,0,,,,,UggYKxoe652CUXgCoAEC.6
1945,1945.7,0,,,,,UggYKxoe652CUXgCoAEC.7
1801,1801.0,0,,,,,UggZJJm4T28QVngCoAEC.0
1801,1801.1,1,lack of infrastructure,,,,UggZJJm4T28QVngCoAEC.1
1801,1801.2,0,,,,,UggZJJm4T28QVngCoAEC.2
2205,2205.0,0,,,,,Ugg_MITZ_USawHgCoAEC.0
2205,2205.1,0,,,,,Ugg_MITZ_USawHgCoAEC.1
588,588.0,1,contamination,,,,Ugg_t7IznwVxfHgCoAEC.0
588,588.1,1,contamination,,,,Ugg_t7IznwVxfHgCoAEC.1
588,588.2,1,contamination,,,,Ugg_t7IznwVxfHgCoAEC.2
588,588.3,0,,,,,Ugg_t7IznwVxfHgCoAEC.3
588,588.4,0,,,,,Ugg_t7IznwVxfHgCoAEC.4
851,851.0,0,,,,,UggaWT_AhveaIHgCoAEC.0
2147,2147.0,1,industrial development,,,,Uggb6cEdPwn_d3gCoAEC.0
1429,1429.0,0,,,,,Uggc1f2TcGG3mXgCoAEC.0
1429,1429.1,0,,,,,Uggc1f2TcGG3mXgCoAEC.1
1182,1182.0,0,,,,,Uggc4KmsIj4ykngCoAEC.0
1182,1182.1,0,,,,,Uggc4KmsIj4ykngCoAEC.1
1182,1182.2,0,,,,,Uggc4KmsIj4ykngCoAEC.2
1182,1182.3,1,contamination,,,,Uggc4KmsIj4ykngCoAEC.3
520,520.0,0,,,,,Uggcc4cRujIPAngCoAEC.0
520,520.1,0,,,,,Uggcc4cRujIPAngCoAEC.1
520,520.2,0,,,,,Uggcc4cRujIPAngCoAEC.2
520,520.3,0,,,,,Uggcc4cRujIPAngCoAEC.3
520,520.4,0,,,,,Uggcc4cRujIPAngCoAEC.4
520,520.5,0,,,,,Uggcc4cRujIPAngCoAEC.5
520,520.6,0,,,,,Uggcc4cRujIPAngCoAEC.6
520,520.7,0,,,,,Uggcc4cRujIPAngCoAEC.7
520,520.8,0,,,,,Uggcc4cRujIPAngCoAEC.8
3036,3036.0,1,lack of awareness,,,,UggkgKkkzPL6JHgCoAEC.7zu8VvHxKxk7-YtWfkd5kV.0
3036,3036.1,0,,,,,UggkgKkkzPL6JHgCoAEC.7zu8VvHxKxk7-YtWfkd5kV.1
3036,3036.2,1,climate change,,,,UggkgKkkzPL6JHgCoAEC.7zu8VvHxKxk7-YtWfkd5kV.2
2154,2154.0,0,,,,,UggmELYvS7d4QXgCoAEC.0
2154,2154.1,0,,,,,UggmELYvS7d4QXgCoAEC.1
2154,2154.2,0,,,,,UggmELYvS7d4QXgCoAEC.2
2154,2154.3,0,,,,,UggmELYvS7d4QXgCoAEC.3
2154,2154.4,0,,,,,UggmELYvS7d4QXgCoAEC.4
2154,2154.5,0,,,,,UggmELYvS7d4QXgCoAEC.5
2154,2154.6,0,,,,,UggmELYvS7d4QXgCoAEC.6
2873,2873.0,0,,,,,UggnSdZnpLLdongCoAEC.89wCGix-jYH8A9WJTfxbSn.0
2873,2873.1,0,,,,,UggnSdZnpLLdongCoAEC.89wCGix-jYH8A9WJTfxbSn.1
2873,2873.2,0,,,,,UggnSdZnpLLdongCoAEC.89wCGix-jYH8A9WJTfxbSn.2
536,536.0,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.0
536,536.1,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.1
536,536.2,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.2
536,536.3,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.3
536,536.4,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.4
536,536.5,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.5
536,536.6,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8VwncuNq_6W.6
852,852.0,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.0
852,852.1,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.1
852,852.2,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.2
852,852.3,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.3
852,852.4,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.4
852,852.5,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.5
852,852.6,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.6
852,852.7,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.7
852,852.8,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.8
852,852.9,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.9
852,852.1,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.10
852,852.11,0,,,,,UggpmjGVwQ4HMngCoAEC.8UATqIIIzdd8WZOCsToogm.11
2650,2650.0,0,,,,,UggtfrNWPzf89XgCoAEC.8IPXnmyxuvF8KntwuWwiVP.0
2650,2650.1,0,,,,,UggtfrNWPzf89XgCoAEC.8IPXnmyxuvF8KntwuWwiVP.1
1516,1516.0,0,,,,,Uggud8K5wFyrD3gCoAEC.0
1516,1516.1,1,lack of infrastructure,,,,Uggud8K5wFyrD3gCoAEC.1
1516,1516.2,1,lack of infrastructure,,,,Uggud8K5wFyrD3gCoAEC.2
1516,1516.3,1,loss of water bodies,,,,Uggud8K5wFyrD3gCoAEC.3
1516,1516.4,1,lack of harvesting,,,,Uggud8K5wFyrD3gCoAEC.4
1516,1516.5,1,pollution,,,,Uggud8K5wFyrD3gCoAEC.5
1516,1516.6,0,,,,,Uggud8K5wFyrD3gCoAEC.6
1516,1516.7,0,,,,,Uggud8K5wFyrD3gCoAEC.7
1516,1516.8,1,public water wastage,,,,Uggud8K5wFyrD3gCoAEC.8
1516,1516.9,0,,,,,Uggud8K5wFyrD3gCoAEC.9
1516,1516.1,0,,,,,Uggud8K5wFyrD3gCoAEC.10
1516,1516.11,0,,,,,Uggud8K5wFyrD3gCoAEC.11
1345,1345.0,0,,,,,UggwMiPr5PfyL3gCoAEC.0
1345,1345.1,0,,,,,UggwMiPr5PfyL3gCoAEC.1
1345,1345.2,0,,,,,UggwMiPr5PfyL3gCoAEC.2
1345,1345.3,0,,,,,UggwMiPr5PfyL3gCoAEC.3
2007,2007.0,0,,,,,UggwlZ4nz4dRMXgCoAEC.0
2007,2007.1,0,,,,,UggwlZ4nz4dRMXgCoAEC.1
2007,2007.2,0,,,,,UggwlZ4nz4dRMXgCoAEC.2
1052,1052.0,1,lack of awareness,government inaction,,,Ugh-iIPeIJaI03gCoAEC.0
2883,2883.0,0,,,,,Ugh1VYC2RYfalXgCoAEC.0
2883,2883.1,0,,,,,Ugh1VYC2RYfalXgCoAEC.1
2883,2883.2,0,,,,,Ugh1VYC2RYfalXgCoAEC.2
2883,2883.3,0,,,,,Ugh1VYC2RYfalXgCoAEC.3
2883,2883.4,0,,,,,Ugh1VYC2RYfalXgCoAEC.4
2883,2883.5,0,,,,,Ugh1VYC2RYfalXgCoAEC.5
2883,2883.6,0,,,,,Ugh1VYC2RYfalXgCoAEC.6
1835,1835.0,0,,,,,Ugh4VSmOQgI4OXgCoAEC.8R4nT3XcsiR8REy5SoaEu9.0
1835,1835.1,0,,,,,Ugh4VSmOQgI4OXgCoAEC.8R4nT3XcsiR8REy5SoaEu9.1
1835,1835.2,0,,,,,Ugh4VSmOQgI4OXgCoAEC.8R4nT3XcsiR8REy5SoaEu9.2
1835,1835.3,0,,,,,Ugh4VSmOQgI4OXgCoAEC.8R4nT3XcsiR8REy5SoaEu9.3
1588,1588.0,1,overpopulation,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8LluV8r7oXd.0
1588,1588.1,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8LluV8r7oXd.1
3126,3126.0,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.0
3126,3126.1,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.1
3126,3126.2,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.2
3126,3126.3,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.3
3126,3126.4,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.4
3126,3126.5,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.5
3126,3126.6,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.6
3126,3126.7,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.7
3126,3126.8,1,contamination,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.8
3126,3126.9,1,contamination,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.9
3126,3126.1,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1D-PzndYj.10
1806,1806.0,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1E7C2Okma.0
1806,1806.1,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1E7C2Okma.1
1806,1806.2,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1E7C2Okma.2
1806,1806.3,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8M1E7C2Okma.3
1293,1293.0,0,,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8MIbi0HpLcA.0
1293,1293.1,1,loss of water bodies,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8MIbi0HpLcA.1
1293,1293.2,1,industrial development,,,,Ugh62w7GUwmj_ngCoAEC.8KsxPIOVlSW8MIbi0HpLcA.2
939,939.0,1,industrial development,strain on natural resources,,,Ugh9PUtU0gVlf3gCoAEC.0
939,939.1,1,industrial development,strain on natural resources,,,Ugh9PUtU0gVlf3gCoAEC.1
939,939.2,0,,,,,Ugh9PUtU0gVlf3gCoAEC.2
939,939.3,1,agriculture,,,,Ugh9PUtU0gVlf3gCoAEC.3
939,939.4,1,agriculture,government inaction,,,Ugh9PUtU0gVlf3gCoAEC.4
939,939.5,1,agriculture,,,,Ugh9PUtU0gVlf3gCoAEC.5
939,939.6,1,groundwater exploitation,,,,Ugh9PUtU0gVlf3gCoAEC.6
939,939.7,1,groundwater exploitation,,,,Ugh9PUtU0gVlf3gCoAEC.7
939,939.8,1,groundwater exploitation,,,,Ugh9PUtU0gVlf3gCoAEC.8
939,939.9,1,public water wastage,,,,Ugh9PUtU0gVlf3gCoAEC.9
939,939.1,0,,,,,Ugh9PUtU0gVlf3gCoAEC.10
939,939.11,0,,,,,Ugh9PUtU0gVlf3gCoAEC.11
939,939.12,1,government inaction,,,,Ugh9PUtU0gVlf3gCoAEC.12
939,939.13,1,government inaction,,,,Ugh9PUtU0gVlf3gCoAEC.13
939,939.14,1,lack of harvesting,,,,Ugh9PUtU0gVlf3gCoAEC.14
939,939.15,0,,,,,Ugh9PUtU0gVlf3gCoAEC.15
939,939.16,1,loss of water bodies,,,,Ugh9PUtU0gVlf3gCoAEC.16
872,872.0,1,agriculture,damming,,,UghADRdle1XQe3gCoAEC.0
872,872.1,1,agriculture,,,,UghADRdle1XQe3gCoAEC.1
872,872.2,0,,,,,UghADRdle1XQe3gCoAEC.2
657,657.0,0,,,,,UghAsQRiUGedJHgCoAEC.0
657,657.1,0,,,,,UghAsQRiUGedJHgCoAEC.1
657,657.2,0,,,,,UghAsQRiUGedJHgCoAEC.2
657,657.3,0,,,,,UghAsQRiUGedJHgCoAEC.3
657,657.4,0,,,,,UghAsQRiUGedJHgCoAEC.4
657,657.5,0,,,,,UghAsQRiUGedJHgCoAEC.5
657,657.6,0,,,,,UghAsQRiUGedJHgCoAEC.6
2103,2103.0,0,,,,,UghEHUVqE6nBc3gCoAEC.8Q3yGUk-Wa58VcRwVZs1Kd.0
2103,2103.1,0,,,,,UghEHUVqE6nBc3gCoAEC.8Q3yGUk-Wa58VcRwVZs1Kd.1
2103,2103.2,0,,,,,UghEHUVqE6nBc3gCoAEC.8Q3yGUk-Wa58VcRwVZs1Kd.2
2103,2103.3,1,overpopulation,,,,UghEHUVqE6nBc3gCoAEC.8Q3yGUk-Wa58VcRwVZs1Kd.3
873,873.0,1,lack of infrastructure,,,,UghFHlOivQWV13gCoAEC.0
161,161.0,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8Z4BDZR9adA.0
161,161.1,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8Z4BDZR9adA.1
161,161.2,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8Z4BDZR9adA.2
2702,2702.0,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.0
2702,2702.1,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.1
2702,2702.2,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.2
2702,2702.3,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.3
2702,2702.4,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.4
2702,2702.5,0,,,,,UghIh-bulJkQR3gCoAEC.8VJiiOjYmLE8es1P7hNqnY.5
1612,1612.0,1,lack of infrastructure,,,,UghM8Y0cNh1083gCoAEC.0
1612,1612.1,0,,,,,UghM8Y0cNh1083gCoAEC.1
2559,2559.0,0,,,,,UghM8Y0cNh1083gCoAEC.8QQKEd8_0nc8QQohYYKC6H.0
2559,2559.1,0,,,,,UghM8Y0cNh1083gCoAEC.8QQKEd8_0nc8QQohYYKC6H.1
2559,2559.2,0,,,,,UghM8Y0cNh1083gCoAEC.8QQKEd8_0nc8QQohYYKC6H.2
2559,2559.3,0,,,,,UghM8Y0cNh1083gCoAEC.8QQKEd8_0nc8QQohYYKC6H.3
468,468.0,0,,,,,UghMlmxDp_FgQngCoAEC.0
1718,1718.0,1,groundwater exploitation,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.0
1718,1718.1,1,public water wastage,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.1
1718,1718.2,1,public water wastage,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.2
1718,1718.3,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.3
1718,1718.4,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.4
1718,1718.5,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.5
1718,1718.6,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.6
1718,1718.7,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.7
1718,1718.8,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.8
1718,1718.9,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8baXE3Ve0JG.9
484,484.0,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8jVObO8HJQD.0
484,484.1,1,lack of awareness,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8jVObO8HJQD.1
484,484.2,0,,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8jVObO8HJQD.2
484,484.3,1,public water wastage,,,,UghNSEtBUzaLR3gCoAEC.8IPW8s7b_tg8jVObO8HJQD.3
1679,1679.0,1,contamination,,,,UghRN7fEpRgw13gCoAEC.0
1679,1679.1,0,,,,,UghRN7fEpRgw13gCoAEC.1
2042,2042.0,0,,,,,UghV-1XaXXGUIngCoAEC.8UH_3ixhlU78XB2lchtf3B.0
2042,2042.1,0,,,,,UghV-1XaXXGUIngCoAEC.8UH_3ixhlU78XB2lchtf3B.1
2042,2042.2,0,,,,,UghV-1XaXXGUIngCoAEC.8UH_3ixhlU78XB2lchtf3B.2
2042,2042.3,0,,,,,UghV-1XaXXGUIngCoAEC.8UH_3ixhlU78XB2lchtf3B.3
2654,2654.0,1,overpopulation,,,,UghZpQwV6XdY8HgCoAEC.0
2654,2654.1,1,overpopulation,,,,UghZpQwV6XdY8HgCoAEC.1
2654,2654.2,1,overpopulation,,,,UghZpQwV6XdY8HgCoAEC.2
1649,1649.0,0,,,,,UghaLWyjujnM5HgCoAEC.0
1649,1649.1,0,,,,,UghaLWyjujnM5HgCoAEC.1
1649,1649.2,1,human activity,,,,UghaLWyjujnM5HgCoAEC.2
1649,1649.3,0,,,,,UghaLWyjujnM5HgCoAEC.3
1649,1649.4,0,,,,,UghaLWyjujnM5HgCoAEC.4
1649,1649.5,0,,,,,UghaLWyjujnM5HgCoAEC.5
1649,1649.6,1,overpopulation,,,,UghaLWyjujnM5HgCoAEC.6
1649,1649.7,0,,,,,UghaLWyjujnM5HgCoAEC.7
1649,1649.8,0,,,,,UghaLWyjujnM5HgCoAEC.8
1649,1649.9,0,,,,,UghaLWyjujnM5HgCoAEC.9
1649,1649.1,1,human activity,,,,UghaLWyjujnM5HgCoAEC.10
1649,1649.11,0,,,,,UghaLWyjujnM5HgCoAEC.11
1649,1649.12,0,,,,,UghaLWyjujnM5HgCoAEC.12
1649,1649.13,0,,,,,UghaLWyjujnM5HgCoAEC.13
1649,1649.14,0,,,,,UghaLWyjujnM5HgCoAEC.14
1649,1649.15,0,,,,,UghaLWyjujnM5HgCoAEC.15
1649,1649.16,0,,,,,UghaLWyjujnM5HgCoAEC.16
1649,1649.17,1,overpopulation,,,,UghaLWyjujnM5HgCoAEC.17
1649,1649.18,1,overpopulation,,,,UghaLWyjujnM5HgCoAEC.18
1649,1649.19,1,overpopulation,,,,UghaLWyjujnM5HgCoAEC.19
1649,1649.2,1,groundwater exploitation,,,,UghaLWyjujnM5HgCoAEC.20
1649,1649.21,1,groundwater exploitation,,,,UghaLWyjujnM5HgCoAEC.21
1649,1649.22,0,,,,,UghaLWyjujnM5HgCoAEC.22
1649,1649.23,1,human activity,,,,UghaLWyjujnM5HgCoAEC.23
1649,1649.24,1,deforestation,,,,UghaLWyjujnM5HgCoAEC.24
1649,1649.25,0,,,,,UghaLWyjujnM5HgCoAEC.25
1649,1649.26,0,,,,,UghaLWyjujnM5HgCoAEC.1
1649,1649.27,0,,,,,UghaLWyjujnM5HgCoAEC.27
2010,2010.0,0,,,,,Ughd25_xQgtCB3gCoAEC.0
2010,2010.1,1,government inaction,,,,Ughd25_xQgtCB3gCoAEC.1
2010,2010.2,1,religion,,,,Ughd25_xQgtCB3gCoAEC.2
2010,2010.3,1,religion,,,,Ughd25_xQgtCB3gCoAEC.3
2010,2010.4,1,religion,,,,Ughd25_xQgtCB3gCoAEC.4
2010,2010.5,1,overpopulation,,,,Ughd25_xQgtCB3gCoAEC.5
1770,1770.0,0,,,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8QvCNFgF9_I.0
1770,1770.1,1,industrial development,,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8QvCNFgF9_I.1
1572,1572.0,1,government inaction,,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8UFgLpNwVw1.0
1572,1572.1,1,overpopulation,government inaction,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8UFgLpNwVw1.1
1572,1572.2,1,contamination,,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8UFgLpNwVw1.2
1572,1572.3,0,,,,,UghgUL4H1VDx1XgCoAEC.8Q33a5S5ZAj8UFgLpNwVw1.3
